Country,YR2019,YR2020,YR2021,YR2022
Bulgaria,6975761.0,6934015.0,6877743.0,6465097.0
Brunei Darussalam,438048.0,441725.0,445373.0,449002.0
British Virgin Islands,30610.0,30910.0,31122.0,31305.0
Brazil,211782878.0,213196304.0,214326223.0,215313498.0
Botswana,2499702.0,2546402.0,2588423.0,2630296.0
Bosnia and Herzegovina,3360711.0,3318407.0,3270943.0,3233526.0
Bolivia,11777315.0,11936162.0,12079472.0,12224110.0
Bhutan,767459.0,772506.0,777486.0,782455.0
Bermuda,63911.0,63893.0,63764.0,63532.0
Benin,12290444.0,12643123.0,12996895.0,13352864.0
Belize,389095.0,394921.0,400031.0,405272.0
Belgium,11488980.0,11538604.0,11592952.0,11669446.0
Belarus,9419758.0,9379952.0,9302585.0,9208701.0
Barbados,280180.0,280693.0,281200.0,281635.0
Bangladesh,165516222.0,167420951.0,169356251.0,171186372.0
Bahrain,1494188.0,1477469.0,1463265.0,1472233.0
"Bahamas, The",404557.0,406471.0,407906.0,409984.0
Azerbaijan,10024283.0,10093121.0,10137750.0,10175016.0
Austria,8879920.0,8916864.0,8955797.0,9042528.0
Australia,25340217.0,25655289.0,25688079.0,25978935.0
Aruba,106442.0,106585.0,106537.0,106445.0
Armenia,2820602.0,2805608.0,2790974.0,2780469.0
Argentina,44938712.0,45376763.0,45808747.0,46234830.0
Antigua and Barbuda,92117.0,92664.0,93219.0,93763.0
Angola,32353588.0,33428486.0,34503774.0,35588987.0
Andorra,76343.0,77700.0,79034.0,79824.0
American Samoa,47321.0,46189.0,45035.0,44273.0
Algeria,42705368.0,43451666.0,44177969.0,44903225.0
Albania,2854191.0,2837849.0,2811666.0,2775634.0
Afghanistan,37769499.0,38972230.0,40099462.0,41128771.0
World,7742682218.0,7820963775.0,7888161297.0,7951149546.0
Upper middle income,2752927981.0,2766467575.0,2776091134.0,2784208276.0
Sub-Saharan Africa (IDA & IBRD countries),1121549049.0,1151302081.0,1181163013.0,1211170184.0
Sub-Saharan Africa (excluding high income),1121451424.0,1151203619.0,1181063755.0,1211070124.0
Sub-Saharan Africa,1121549049.0,1151302081.0,1181163013.0,1211170184.0
South Asia (IDA & IBRD),1861598514.0,1882531620.0,1901911604.0,1919348000.0
South Asia,1861598514.0,1882531620.0,1901911604.0,1919348000.0
Small states,41965649.0,42393051.0,42792327.0,43280780.0
Pre-demographic dividend,957503246.0,984213438.0,1011043183.0,1038012552.0
Post-demographic dividend,1113310738.0,1117424113.0,1116545246.0,1113419395.0
Pacific island small states,2536070.0,2566819.0,2602173.0,2639019.0
Other small states,32005477.0,32381464.0,32708277.0,33136283.0
OECD members,1362922537.0,1370222158.0,1372543943.0,1377613713.0
Not classified,,,,
North America,365995094.0,369582571.0,370321816.0,372280991.0
Middle income,5828239756.0,5883693329.0,5933441863.0,5974220875.0
Middle East & North Africa (IDA & IBRD countries),400574097.0,407006855.0,413124452.0,419284769.0
Middle East & North Africa (excluding high income),405259403.0,411810124.0,418047201.0,424328381.0
Middle East & North Africa,473201775.0,479966649.0,486168063.0,493264873.0
Lower middle income,3075311775.0,3117225754.0,3157350729.0,3190012599.0
Low income,648755452.0,667053670.0,685250041.0,703727949.0
Low & middle income,6476995208.0,6550746999.0,6618691904.0,6677948824.0
Least developed countries: UN classification,1048193552.0,1073743450.0,1099568566.0,1125179454.0
Latin America & the Caribbean (IDA & IBRD countries),629515571.0,634680385.0,639188695.0,643602758.0
Latin America & Caribbean (excluding high income),582701622.0,588011178.0,592503434.0,596596955.0
Latin America & Caribbean,645295804.0,650534986.0,654980808.0,659311105.0
Late-demographic dividend,2309491804.0,2317278934.0,2321865172.0,2325466354.0
IDA total,1721049412.0,1760225807.0,1800033438.0,1839971350.0
IDA only,1150416080.0,1177588680.0,1205017407.0,1232235382.0
IDA blend,570633332.0,582637127.0,595016031.0,607735968.0
IDA & IBRD total,6554880543.0,6628068247.0,6695340280.0,6754326592.0
IBRD only,4833831131.0,4867842440.0,4895306842.0,4914355242.0
High income,1236715327.0,1241726323.0,1241269526.0,1244899026.0
Heavily indebted poor countries (HIPC),815100831.0,838066650.0,861156745.0,884288332.0
Fragile and conflict affected situations,957785553.0,979763631.0,1001814433.0,1019139254.0
European Union,447367191.0,447692315.0,447179800.0,447956050.0
Europe & Central Asia (IDA & IBRD countries),460994696.0,462023771.0,462283493.0,457865503.0
Europe & Central Asia (excluding high income),399592320.0,400811771.0,401537489.0,397493238.0
Europe & Central Asia,921179725.0,923104113.0,923419216.0,920631231.0
Euro area,342452734.0,342913447.0,343067846.0,344519132.0
East Asia & Pacific (IDA & IBRD countries),2080648616.0,2090523535.0,2097669023.0,2103055378.0
East Asia & Pacific (excluding high income),2106391925.0,2116378687.0,2123628421.0,2129112126.0
East Asia & Pacific,2353862257.0,2363941755.0,2370196777.0,2375143162.0
Early-demographic dividend,3335463995.0,3375134276.0,3411889759.0,3447753080.0
Central Europe and the Baltics,102398537.0,102180124.0,101410997.0,100648571.0
Caribbean small states,7424102.0,7444768.0,7481877.0,7505478.0
Arab World,441467739.0,449228296.0,456520777.0,464684914.0
Africa Western and Central,454306063.0,466189102.0,478185907.0,490330870.0
Africa Eastern and Southern,667242986.0,685112979.0,702977106.0,720839314.0
